"line_code","env_code","DTA","DTS","PH","EH","grain_moisture","yield_bu_ac"
"M0266/LH198","MNH1_14",76.3119633720918,78.6954463903549,181.427294103725,87.7571561170917,26.4364467588626,77.0170552941193
"M0269/CG102","MNH1_14",70.9546674699458,73.3759612764775,199.739574225307,95.3754338139315,21.7796304219136,110.155198348615
"M0269/LH198","MNH1_14",76.4087625143799,77.5661206704284,198.266353294789,94.6512526178933,24.0624493642043,79.6882375786498
"M0272/LH198","MNH1_14",75.8095459012077,78.5897665082962,195.118061117981,98.3090577651377,30.8185362464913,107.005471557202
"M0276/CG102","MNH1_14",70.4546674699458,70.8759612764775,191.739574225307,80.8754338139315,23.7296304219136,113.410817108615
"M0287/CG102","MNH1_14",74.2847757837853,75.2221193924546,206.176004253567,85.2869661604164,23.5151139290166,95.1379244835463
"M0287/LH198","MNH1_14",79.3119633720918,80.6954463903549,192.927294103725,102.757156117092,26.4364467588626,85.2936394091194
"M0296/LH198","MNH1_14",77.3119633720918,79.1954463903549,191.427294103725,100.757156117092,28.1364467588626,89.0325840291194
"M0297/CG102","MNH1_14",72.4546674699458,72.8759612764775,203.239574225307,96.3754338139315,23.3296304219136,99.8635500086153
"M0297/LH198","MNH1_14",78.4855660279244,80.8028583947418,181.75324989136,93.3531580688623,26.9815756855086,69.6944320348277
"M0309/CG102","MNH1_14",70.4546674699458,71.8759612764775,191.739574225307,76.8754338139315,25.9296304219136,124.605976398615
"M0309/LH198","MNH1_14",75.3211586203986,77.3037244559059,177.761611292306,84.4271098687708,25.395184892646,58.8950124217232
"M0311/CG102","MNH1_14",71.9546674699458,73.3759612764775,197.739574225307,85.8754338139315,25.8796304219136,130.960345448615
"M0311/LH198","MNH1_14",75.8119633720918,77.1954463903549,205.927294103725,114.757156117092,27.4864467588626,115.485166449119
"M0317/CG102","MNH1_14",69.2847757837853,71.2221193924546,195.176004253567,91.2869661604164,25.2151139290166,118.517657333546
"M0317/LH198","MNH1_14",77.2151642298037,78.8247721102815,175.927294103725,76.2571561170917,29.0864467588626,72.8318574941194
"M0323/CG102","MNH1_14",71.9546674699458,73.3759612764775,213.739574225307,93.3754338139315,27.3796304219136,127.516559698615
"M0323/LH198","MNH1_14",75.5202457066048,77.8046423763962,199.309277609608,98.6971802173548,26.6150114976084,103.72488983169
"M0325/CG102","MNH1_14",70.9546674699458,72.8759612764775,218.239574225307,112.875433813931,24.2296304219136,121.919503048615
"M0325/LH198","MNH1_14",76.2151642298037,77.8247721102815,232.588234912661,137.86305961629,28.1104441535209,106.234082639589
"M0326/CG102","MNH1_14",69.2847757837853,71.2221193924546,203.176004253567,106.286966160416,28.8151139290166,156.603283733546
"M0326/LH198","MNH1_14",76.4087625143799,77.5661206704284,214.266353294789,102.651252617893,28.5624493642043,100.55087665865
"M0341/CG102","MNH1_14",74.2847757837853,75.2221193924546,202.176004253567,86.2869661604164,25.6151139290166,88.8559853435463
"M0346/CG102","MNH1_14",70.9546674699458,72.3759612764775,195.739574225307,76.3754338139315,23.1296304219136,120.503920198615
"M0346/LH198","MNH1_14",75.3119633720918,77.1954463903549,209.427294103725,99.7571561170917,26.7864467588626,86.4161973041194
